FrameNumber,Kanji,Keyword,LastReview,ExpireDate,LeitnerBox,FailCount,PassCount
1,"一","one",2018-06-05 00:28:32,2019-07-10,8,0,8
2,"二","two",2018-06-20 21:18:38,2019-07-04,8,0,8
3,"三","three",2018-07-05 03:37:14,2019-08-22,8,0,8
4,"四","four",2018-06-05 00:53:07,2019-03-16,8,0,8
5,"五","five",2018-06-22 09:23:41,2019-07-11,8,0,8
6,"六","six",2018-06-20 21:21:10,2019-08-02,8,1,8
7,"七","seven",2018-05-29 03:31:20,2019-06-18,8,0,8
8,"八","eight",2018-06-15 23:40:45,2019-06-21,8,0,8
9,"九","nine",2018-05-30 01:04:16,2019-07-09,8,0,8
10,"十","ten",2018-05-29 02:21:30,2019-06-22,8,0,8
11,"口","mouth",2018-07-05 03:37:14,2019-07-02,8,0,8
12,"日","day",2018-05-28 05:41:00,2019-06-20,8,0,8
13,"月","month",2018-11-26 16:57:42,2019-11-25,8,0,8
14,"田","rice field",2018-05-28 05:15:32,2019-05-25,8,0,8
15,"目","eye",2018-07-05 03:34:24,2019-07-05,8,0,8
16,"古","old",2018-05-25 16:55:46,2019-07-15,8,0,8
17,"吾","I",2018-05-25 05:10:41,2019-07-01,8,0,8
18,"冒","risk",2018-06-20 20:23:49,2019-02-10,8,0,8
19,"朋","companion",2018-06-05 00:53:07,2019-05-28,8,1,10
20,"明","bright",2018-03-29 17:22:58,2018-11-20,8,1,8
21,"唱","chant",2018-07-05 03:16:31,2019-03-29,8,1,10
22,"晶","sparkle(not 肖)",2018-12-19 11:57:36,2018-12-22,2,3,13
23,"品","goods",2018-05-25 05:10:42,2019-06-13,8,0,8
24,"呂","spine",2017-11-30 17:47:07,2018-08-08,8,1,12
25,"昌","prosperous",2018-07-09 03:32:48,2018-08-09,5,1,11
26,"早","early",2018-06-11 06:51:43,2019-03-06,8,0,8
27,"旭","rising sun",2018-07-06 06:06:21,2018-08-06,5,2,14
28,"世","generation",2018-05-25 16:55:47,2019-06-07,8,0,8
29,"胃","stomach",2018-06-02 04:30:09,2019-03-04,8,0,8
30,"旦","nightbreak",2018-06-15 23:46:51,2019-03-20,8,0,8
31,"胆","gall bladder",2018-07-05 03:16:31,2018-08-02,5,2,11
32,"亘","span",2018-05-25 16:55:47,2019-06-23,8,0,8
