framenr,kanji,keyword,public,last_edited,story
7,七,"seven",1,2016-06-04 23:23:20,"Means seven as it's upside down and it also means diced as you can see 2 little cubes touching by the edges."
9,九,"nine",0,2016-06-04 23:30:00,"The primitive is a baseball machine that throws balls. The second stroke being a ""spoon"" for the ball to be picked up with."
19,朋,"companion",0,2016-06-12 22:05:16,"The first companion Adam had was *flesh* of his *flesh*"
22,晶,"sparkle(not 肖)",0,2018-12-12 15:06:28,"A diamond sparkles as brightly as three suns."
25,昌,"prosperous",0,2018-05-29 03:48:28,"The most prosperous civilizations have not one but 2 suns. One more and it would have been a risk."
27,旭,"rising sun",0,2016-06-06 22:33:20,"In the rising sun nation, the sun comes out at 9 pm."
29,胃,"stomach",1,2016-06-06 23:04:41,"An astronaut's stomach ridden by hunger
Stopped himself and the man to ponder
No rice on the *moon*?
Don't give up so Soon!
*Above all*
*A pad* we shall grow.
After all.
You reap what you sow!"
31,胆,"gall bladder",0,2016-06-07 12:21:59,"If you eat flesh until nightbreak, your gall bladder will suffer."
40,千,"thousand",0,2017-10-19 17:46:03,"It just takes ten drops of the mergaliquid ot get to a thousand milliliters"
42,升,"measuring box",0,2016-06-07 23:41:23,"It is a thousand or ten? I need my measuring box."
43,昇,"rise up",0,2016-06-07 23:49:57,"In old Japan the villagers used to put their measuring box on an east facing window ledge so that the sun would rise up above it and hence would be the first thing they saw  in the morning."
44,丸,"round",0,2016-06-08 00:01:41,"#Redondo# como el típico *hombre gordo* que cree que va a bajar esos *nueve* kilos rápidamente por comer de a *gotitas*."
45,寸,"measurement",0,2016-06-08 00:16:20,"Glue two sticks together to make the best measurement."
46,肘,"elbow/ひじ",1,2016-06-08 00:23:47,"Imagine measuring the moon with elbows. It would take months to do!"
47,専,"specialty",0,2016-06-08 00:37:37,"Ten brains glued together make any specialty a breeze!"
48,博,"Dr.",0,2016-06-08 00:48:21,"*Ten specialties* won't even grant an acupuncturist the doctorate with a dot."
52,卓,"eminent",0,2016-06-08 01:07:59,"A magic wand so eminent that it harnesses the power of ten suns"
53,朝,"morning",0,2016-06-08 01:25:27,"*Mist* and *moon*, you'll see morning soon."
54,嘲,"to laugh at",0,2016-06-08 01:33:00,"I laugh at what people say in the mornings. It's full of nonsense!"
55,只,"only",0,2016-06-19 14:53:31,"Imagine an animal with only a *mouth* and *leg*s."
56,貝,"shellfish",0,2016-06-08 18:24:07,"Da FUCK yo looking at BITCH!"
58,貞,"upright",0,2016-06-12 22:07:28,"Eating *shellfish* will make your *magic wand* stand upright."
59,員,"employee/会社.いん",0,2018-05-29 04:05:25,"If employees want to receive their shells in this company, they need to keep their mouths shut"
63,元,"beginning(not start)",0,2018-01-23 17:09:20,"You can see the little boy beginning to climb the ladder at the beginning of it."
64,頁,"page",1,2016-06-08 19:10:46,"I see an extremely tiny old man with a giant head grinding a hundred shellfishes just to make a single page of a book."
70,肌,"texture",0,2018-05-30 03:10:12,"When you get your face against the wind for some time, the wind texturizes the flesh and makes it smoother."
71,旬,"decameron",0,2016-06-08 21:28:25,"James Decameron should be bound up for producing Titenic. (Ech!)"
73,的,"bull's eye",0,2018-06-22 00:14:21,"Instead of arrows, skilled archers use golden ladles"
74,首,"neck",0,2016-06-08 21:54:44,"One has a strong NECK if one can carry HORNS on ONESELF."
77,直,"straightaway",0,2016-06-12 22:12:44,"I caught a freaky creature with ten eyes on my fish hook, so I threw it back straightaway."
78,具,"tool",0,2016-06-18 19:54:58,"A table full of carpenter tools with eyes looking at you."
79,真,"true",0,2016-06-18 19:59:29,"A compass is a *tool* with a *needle* on top that points to true north."
80,工,"craft",0,2016-06-18 20:06:42,"I-beams are used to CRAFT skyscrapers."
81,左,"left",0,2016-06-09 20:48:48,"To remember which one is right/left, think ""(l)Eft"", as it contains the katakana ""e""."
82,右,"right",0,2016-06-09 20:49:29,"*R*ight uses the katakana *R*o (ロ)"
83,有,"possess",0,2016-06-09 20:56:16,"besides flesh, what do i possess?"
84,賄,"bribe",0,2016-06-18 20:14:29,"A shellfish is all I possess. Take it and go buy a donut."
85,貢,"tribute",1,2016-06-09 21:08:32,"We must pay tribute to the state in the form of a really small I beam and a ginormous rose smelling shellfish. Its hard to find those man!"
86,項,"paragraph",0,2016-06-09 21:10:56,"Paragraphs are the I beams of the essay pages."
89,切,"cut/(きり)ます",0,2016-09-20 19:52:30,"Seven swords cut better than one."
91,昭,"shining",0,2016-06-12 22:22:29,"Shining a flashlight at the sun seduction ensures."
